INFO     | 2021-01-14 07:04:08,560 | progress   |       Finished subset 119/528, 22.54 percent done
INFO     | 2021-01-14 07:04:22,593 | progress   |       Finished subset 120/528, 22.73 percent done
INFO     | 2021-01-14 07:05:10,197 | progress   |       Finished subset 121/528, 22.92 percent done
INFO     | 2021-01-14 07:05:20,005 | progress   |       Finished subset 122/528, 23.11 percent done
INFO     | 2021-01-14 07:06:13,483 | progress   |       Finished subset 123/528, 23.30 percent done
INFO     | 2021-01-14 07:07:08,306 | progress   |       Finished subset 124/528, 23.48 percent done
INFO     | 2021-01-14 07:07:20,018 | progress   |       Finished subset 125/528, 23.67 percent done
INFO     | 2021-01-14 07:07:56,528 | progress   |       Finished subset 126/528, 23.86 percent done
INFO     | 2021-01-14 07:08:12,544 | progress   |       Finished subset 127/528, 24.05 percent done
INFO     | 2021-01-14 07:08:35,560 | progress   |       Finished subset 128/528, 24.24 percent done
INFO     | 2021-01-14 07:09:32,901 | progress   |       Finished subset 129/528, 24.43 percent done
INFO     | 2021-01-14 07:09:51,387 | progress   |       Finished subset 130/528, 24.62 percent done
INFO     | 2021-01-14 07:10:33,786 | progress   |       Finished subset 131/528, 24.81 percent done
INFO     | 2021-01-14 07:10:45,135 | progress   |       Finished subset 132/528, 25.00 percent done
INFO     | 2021-01-14 07:11:28,346 | progress   |       Finished subset 133/528, 25.19 percent done
INFO     | 2021-01-14 07:12:10,962 | progress   |       Finished subset 134/528, 25.38 percent done
INFO     | 2021-01-14 07:12:46,061 | progress   |       Finished subset 135/528, 25.57 percent done
INFO     | 2021-01-14 07:13:09,735 | progress   |       Finished subset 136/528, 25.76 percent done
INFO     | 2021-01-14 07:13:54,586 | progress   |       Finished subset 137/528, 25.95 percent done
INFO     | 2021-01-14 07:14:29,862 | progress   |       Finished subset 138/528, 26.14 percent done
INFO     | 2021-01-14 07:14:42,594 | progress   |       Finished subset 139/528, 26.33 percent done
INFO     | 2021-01-14 07:14:57,819 | progress   |       Finished subset 140/528, 26.52 percent done
INFO     | 2021-01-14 07:15:09,560 | progress   |       Finished subset 141/528, 26.70 percent done
INFO     | 2021-01-14 07:15:23,554 | progress   |       Finished subset 142/528, 26.89 percent done
INFO     | 2021-01-14 07:15:35,846 | progress   |       Finished subset 143/528, 27.08 percent done
INFO     | 2021-01-14 07:15:49,132 | progress   |       Finished subset 144/528, 27.27 percent done
INFO     | 2021-01-14 07:16:00,582 | progress   |       Finished subset 145/528, 27.46 percent done
INFO     | 2021-01-14 07:16:13,384 | progress   |       Finished subset 146/528, 27.65 percent done
INFO     | 2021-01-14 07:17:00,095 | progress   |       Finished subset 147/528, 27.84 percent done
INFO     | 2021-01-14 07:17:12,096 | progress   |       Finished subset 148/528, 28.03 percent done
INFO     | 2021-01-14 07:17:24,390 | progress   |       Finished subset 149/528, 28.22 percent done
INFO     | 2021-01-14 07:17:51,377 | progress   |       Finished subset 150/528, 28.41 percent done
INFO     | 2021-01-14 07:18:15,102 | progress   |       Finished subset 151/528, 28.60 percent done
INFO     | 2021-01-14 07:18:29,680 | progress   |       Finished subset 152/528, 28.79 percent done
INFO     | 2021-01-14 07:19:07,725 | progress   |       Finished subset 153/528, 28.98 percent done
INFO     | 2021-01-14 07:19:25,655 | progress   |       Finished subset 154/528, 29.17 percent done
INFO     | 2021-01-14 07:20:13,325 | progress   |       Finished subset 155/528, 29.36 percent done
INFO     | 2021-01-14 07:20:34,184 | progress   |       Finished subset 156/528, 29.55 percent done
INFO     | 2021-01-14 07:21:15,366 | progress   |       Finished subset 157/528, 29.73 percent done
INFO     | 2021-01-14 07:21:34,791 | progress   |       Finished subset 158/528, 29.92 percent done
INFO     | 2021-01-14 07:21:52,663 | progress   |       Finished subset 159/528, 30.11 percent done
INFO     | 2021-01-14 07:22:11,512 | progress   |       Finished subset 160/528, 30.30 percent done
INFO     | 2021-01-14 07:22:31,124 | progress   |       Finished subset 161/528, 30.49 percent done
INFO     | 2021-01-14 07:23:13,159 | progress   |       Finished subset 162/528, 30.68 percent done
INFO     | 2021-01-14 07:23:30,641 | progress   |       Finished subset 163/528, 30.87 percent done
INFO     | 2021-01-14 07:23:51,511 | progress   |       Finished subset 164/528, 31.06 percent done
INFO     | 2021-01-14 07:24:29,521 | progress   |       Finished subset 165/528, 31.25 percent done
INFO     | 2021-01-14 07:24:51,538 | progress   |       Finished subset 166/528, 31.44 percent done
INFO     | 2021-01-14 07:25:42,002 | progress   |       Finished subset 167/528, 31.63 percent done
INFO     | 2021-01-14 07:26:01,569 | progress   |       Finished subset 168/528, 31.82 percent done
INFO     | 2021-01-14 07:26:27,460 | progress   |       Finished subset 169/528, 32.01 percent done
INFO     | 2021-01-14 07:27:04,052 | progress   |       Finished subset 170/528, 32.20 percent done
INFO     | 2021-01-14 07:27:13,812 | progress   |       Finished subset 171/528, 32.39 percent done
INFO     | 2021-01-14 07:27:35,958 | progress   |       Finished subset 172/528, 32.58 percent done
INFO     | 2021-01-14 07:27:59,474 | progress   |       Finished subset 173/528, 32.77 percent done
INFO     | 2021-01-14 07:28:37,832 | progress   |       Finished subset 174/528, 32.95 percent done
INFO     | 2021-01-14 07:29:08,307 | progress   |       Finished subset 175/528, 33.14 percent done
